OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1986-030D","SL-8 DEB","17843","CIS","99.80","74.03","759","739","SMALL","0","1986-04-17",""
"1986-030C","SL-8 DEB","17842","CIS","99.83","74.02","761","739","SMALL","0","1986-04-17",""
"1976-067BK","COSMOS 839 DEB","17838","CIS","115.78","65.99","1989","993","SMALL","0","1976-07-08",""
"1986-019ME","ARIANE 1 DEB","17815","FR","100.15","98.41","785","746","SMALL","0","1986-02-22",""
"1982-055AZ","COSMOS 1375 DEB","17807","CIS","104.47","65.83","1008","931","SMALL","0","1982-06-06",""
"1982-055AY","COSMOS 1375 DEB","17806","CIS","104.31","65.83","1006","919","SMALL","0","1982-06-06",""
"1982-055AX","COSMOS 1375 DEB","17805","CIS","103.15","65.82","911","904","SMALL","0","1982-06-06",""
"1982-055AW","COSMOS 1375 DEB","17804","CIS","103.20","65.82","914","906","SMALL","0","1982-06-06",""
"1982-055AV","COSMOS 1375 DEB","17803","CIS","104.39","65.83","992","940","SMALL","0","1982-06-06",""
"1982-055AU","COSMOS 1375 DEB","17802","CIS","104.68","65.83","1003","956","SMALL","0","1982-06-06",""
"1982-055AT","COSMOS 1375 DEB","17801","CIS","101.55","65.83","854","810","SMALL","0","1982-06-06",""
"1982-055AS","COSMOS 1375 DEB","17800","CIS","105.09","65.83","1030","968","SMALL","0","1982-06-06",""
"1982-055AR","COSMOS 1375 DEB","17799","CIS","103.42","65.84","946","895","SMALL","0","1982-06-06",""
"1982-055AQ","COSMOS 1375 DEB","17798","CIS","105.95","65.84","1100","978","SMALL","0","1982-06-06",""
"1982-055AP","COSMOS 1375 DEB","17797","CIS","103.82","65.83","943","935","SMALL","0","1982-06-06",""
"1982-055AN","COSMOS 1375 DEB","17796","CIS","102.60","65.82","913","850","SMALL","0","1982-06-06",""
"1982-055AM","COSMOS 1375 DEB","17795","CIS","105.90","65.83","1095","979","SMALL","0","1982-06-06",""
"1982-055AL","COSMOS 1375 DEB","17794","CIS","103.46","65.82","957","888","SMALL","0","1982-06-06",""
"1981-053LP","COSMOS 1275 DEB","17793","CIS","108.39","83.15","1364","940","SMALL","0","1981-06-04",""
"1981-053LN","COSMOS 1275 DEB","17792","CIS","102.64","82.95","897","869","SMALL","0","1981-06-04",""
"1978-026HA","DELTA 1 DEB","17768","US","100.09","98.36","821","705","SMALL","0","1978-03-05",""
"1978-026GX","DELTA 1 DEB","17765","US","103.04","99.06","933","872","SMALL","0","1978-03-05",""
"1978-026GW","DELTA 1 DEB","17764","US","102.07","98.88","892","822","SMALL","0","1978-03-05",""
"1982-116D","SL-3 DEB","17755","CIS","101.82","81.25","895","795","SMALL","0","1982-12-14",""
"1985-079C","SL-8 DEB","17754","CIS","99.68","74.04","755","731","SMALL","0","1985-09-04",""
"1977-121BP","COSMOS 970 DEB *","17732","CIS","103.59","65.81","1054","803","SMALL","0","1977-12-21",""
"1974-089EX","THORAD DELTA 1 DEB","17728","US","116.63","101.51","1615","1444","SMALL","0","1974-11-15",""
"1970-089DC","COSMOS 374 DEB *","17725","CIS","108.37","62.74","1769","533","SMALL","0","1970-10-23",""
"1965-027W","OPS 4682 DEB","17722","US","111.03","90.30","1283","1265","SMALL","0","1965-04-03",""
"1970-025PJ","THORAD AGENA D DEB","17720","US","102.59","99.64","906","856","SMALL","0","1970-04-08",""
"1970-025PH","THORAD AGENA D DEB","17719","US","100.90","99.06","872","730","SMALL","0","1970-04-08",""
"1970-025PF","THORAD AGENA D DEB","17717","US","98.45","100.00","750","620","SMALL","0","1970-04-08",""
"1970-025PE","THORAD AGENA D DEB","17716","US","100.52","99.52","805","762","SMALL","0","1970-04-08",""
"1961-015LR","THOR ABLESTAR DEB","17713","US","103.13","66.21","963","850","SMALL","0","1961-06-29",""
"1987-029A","AGILA 1 (PALAPA B2P)","17706","RP","1441.30","14.98","35904","35873","LARGE","0","1987-03-20",""
"1987-028D","SL-12 R/B(2)","17705","CIS","1441.85","15.49","36004","35794","LARGE","0","1987-03-19",""
